hc_id,year,hc_type,HealthCenterName,AK
'10E00467,2017,fqhc,"ADAPT, INC",FL
'10E00467,2016,fqhc,"ADAPT, INC",ID
'10E00467,2015,fqhc,"ADAPT, INC",KY
'10E00467,2014,fqhc,"ADAPT, INC",MA
'10E00467,2013,fqhc,"ADAPT, INC",MN
'10E00467,2012,fqhc,"ADAPT, INC",MS
'093030,2019,fqhc,"ADELANTE HEALTHCARE, INC.",CA
'093030,2018,fqhc,"ADELANTE HEALTHCARE, INC.",CA
'093030,2017,fqhc,"ADELANTE HEALTHCARE, INC.",FL
'093030,2016,fqhc,"ADELANTE HEALTHCARE, INC.",IA
'093030,2015,fqhc,"ADELANTE HEALTHCARE, INC.",KS
'093030,2014,fqhc,"ADELANTE HEALTHCARE, INC.",MA
'093030,2013,fqhc,"ADELANTE HEALTHCARE, INC.",MI
'093030,2012,fqhc,"ADELANTE HEALTHCARE, INC.",NC
'093030,2011,fqhc,"ADELANTE HEALTHCARE, INC.",NJ
'1155,2010,fqhc,"Adelante Healthcare, Inc.",NM
'31,2009,fqhc,"Adelante Healthcare, Inc.",OH
'05E01285,2019,lookalike,ADULT AND CHILD MENTAL HEALTH CENTER INC,AK
'05E01285,2018,lookalike,ADULT AND CHILD MENTAL HEALTH CENTER INC,CA
'2948,2006,fqhc,Advantage Health Centers,TX
'077200,2019,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,AZ
'077200,2018,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,CA
'077200,2017,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,DC
'077200,2016,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,HI
'077200,2015,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,IN
'077200,2014,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,MA
'077200,2013,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,MI
'077200,2012,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,MO
'077200,2011,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,NJ
'1586,2010,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,NY
'465,2009,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,OH
'447,2008,fqhc,ADVOCATES FOR A HEALTHY COMMUNITY,PA
'1327,2007,fqhc,Advocates For A Healthy Community,RI
'2434,2006,fqhc,Advocates For A Healthy Community,TX
'071190,2019,fqhc,AFFINIA HEALTHCARE,AZ
'071190,2018,fqhc,AFFINIA HEALTHCARE,CA
'071190,2017,fqhc,AFFINIA HEALTHCARE,DC
'071190,2016,fqhc,AFFINIA HEALTHCARE,HI
'071190,2015,fqhc,AFFINIA HEALTHCARE,IN
'04E00154,2019,fqhc,AFFINITY HEALTH CENTER,AL
'04E00154,2018,fqhc,AFFINITY HEALTH CENTER,CA
'04E00154,2017,fqhc,AFFINITY HEALTH CENTER,CO
'04E00154,2016,fqhc,AFFINITY HEALTH CENTER,GA
'04E00154,2015,fqhc,AFFINITY HEALTH CENTER,IL
'04E01228,2019,fqhc,"AGAPE COMMUNITY HEALTH CENTER, INC.",AL
'04E01228,2018,fqhc,"AGAPE COMMUNITY HEALTH CENTER, INC.",CA
'04E01228,2017,fqhc,"AGAPE COMMUNITY HEALTH CENTER, INC.",CO
'04E01228,2016,fqhc,"AGAPE COMMUNITY HEALTH CENTER, INC.",GA
'09E01270,2019,lookalike,AGHABY COMPREHENSIVE COMMUNITY HEALTH CENTER,AK
'09E01270,2018,lookalike,AGHABY COMPREHENSIVE COMMUNITY HEALTH CENTER,CA
'09E01270,2017,lookalike,AGHABY COMPREHENSIVE COMMUNITY HEALTH CENTER,CA
'898,2009,fqhc,"AHRC Health Care, Inc",OR
'861,2008,fqhc,"AHRC Health Care, Inc",PR
'02E00056,2017,fqhc,"AHRC HEALTH CARE, INC. D.B.A. ACCESS COMMUNITY HEALTH CENTER",CA
'02E00056,2016,fqhc,"AHRC HEALTH CARE, INC. D.B.A. ACCESS COMMUNITY HEALTH CENTER",FL
'02E00056,2015,fqhc,"AHRC HEALTH CARE, INC. D.B.A. ACCESS COMMUNITY HEALTH CENTER",IL
'02E00056,2014,fqhc,"AHRC HEALTH CARE, INC. D.B.A. ACCESS COMMUNITY HEALTH CENTER",KY
'02E00056,2013,fqhc,"AHRC HEALTH CARE, INC. D.B.A. ACCESS COMMUNITY HEALTH CENTER",MD
'02E00056,2012,fqhc,"AHRC HEALTH CARE, INC. D.B.A. ACCESS COMMUNITY HEALTH CENTER",MS
'02E00056,2011,fqhc,"AHRC HEALTH CARE, INC. D.B.A. ACCESS COMMUNITY HEALTH CENTER",NC
'2013,2010,fqhc,"AHRC Health Care, Inc. D.B.A. Access Community Health Center",NY
'04E01318,2019,fqhc,AIDS ACTION COALITION OF HUNTSVILLE,AL
'04E01318,2018,lookalike,AIDS ACTION COALITION OF HUNTSVILLE,CA
'092650,2019,fqhc,AJO COMMUNITY HEALTH CENTER,CA
'092650,2018,fqhc,AJO COMMUNITY HEALTH CENTER,CA
'092650,2017,fqhc,AJO COMMUNITY HEALTH CENTER,FL
'092650,2016,fqhc,AJO COMMUNITY HEALTH CENTER,IA
'092650,2015,fqhc,AJO COMMUNITY HEALTH CENTER,KS
'092650,2014,fqhc,AJO COMMUNITY HEALTH CENTER,MA
'092650,2013,fqhc,AJO COMMUNITY HEALTH CENTER,MI
'092650,2012,fqhc,AJO COMMUNITY HEALTH CENTER,MS
'092650,2011,fqhc,AJO COMMUNITY HEALTH CENTER,NJ
'1670,2010,fqhc,AJO COMMUNITY HEALTH CENTER,NY
'551,2009,fqhc,AJO COMMUNITY HEALTH CENTER,OH
'525,2008,fqhc,AJO COMMUNITY HEALTH CENTER,PA
'2335,2007,fqhc,Akron Community Health Resources,TN
'3015,2006,fqhc,Akron Community Health Resources,UT
'1976,2005,fqhc,Akron Community Health Resources,WA
'1825,2004,fqhc,Akron Community Health Resources,WY
'057270,2014,fqhc,"AKRON COMMUNITY HEALTH RESOURCES, INC.",LA
'057270,2013,fqhc,"AKRON COMMUNITY HEALTH RESOURCES, INC.",MI
'057270,2012,fqhc,"AKRON COMMUNITY HEALTH RESOURCES, INC.",MS
'057270,2011,fqhc,"AKRON COMMUNITY HEALTH RESOURCES, INC.",NH
'2087,2010,fqhc,"AKRON COMMUNITY HEALTH RESOURCES, INC.",NY
'972,2009,fqhc,"AKRON COMMUNITY HEALTH RESOURCES, INC.",OR
'933,2008,fqhc,"AKRON COMMUNITY HEALTH RESOURCES, INC.",PR
'041960,2019,fqhc,ALABAMA REGIONAL MEDICAL SERVICES,AL
'041960,2018,fqhc,ALABAMA REGIONAL MEDICAL SERVICES,CA
'041960,2017,fqhc,ALABAMA REGIONAL MEDICAL SERVICES,CA
'041960,2016,fqhc,ALABAMA REGIONAL MEDICAL SERVICES,GA
'1761,2007,fqhc,Alameda County Health Care Services,SD
'2915,2006,fqhc,Alameda County Health Care Services,TX
'1429,2005,fqhc,Alameda County Health Care Services,VA
'1160,2004,fqhc,Alameda County Health Care Services,WI
'090870,2019,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,CA
'090870,2018,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,CA
'090870,2017,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,FL
'090870,2016,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,HI
'090870,2015,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,IN
'090870,2014,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,MA
'090870,2013,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,MI
'090870,2012,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,MS
'090870,2011,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,NJ
'1511,2010,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,NY
'390,2009,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,OH
'376,2008,fqhc,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,PA
'1011770,2016,fqhc,ALASKA ISLAND COMMUNITY SERVICES,IA
'1011770,2015,fqhc,ALASKA ISLAND COMMUNITY SERVICES,KS
'1011770,2014,fqhc,ALASKA ISLAND COMMUNITY SERVICES,MA
'1011770,2013,fqhc,ALASKA ISLAND COMMUNITY SERVICES,MN
'1011770,2012,fqhc,ALASKA ISLAND COMMUNITY SERVICES,MT
'1011770,2011,fqhc,ALASKA ISLAND COMMUNITY SERVICES,NM
'1272,2010,fqhc,Alaska Island Community Services,NM
'148,2009,fqhc,Alaska Island Community Services,OH
'141,2008,fqhc,Alaska Island Community Services,OR
'1447,2007,fqhc,Alaska Island Community Services,SC
'2188,2006,fqhc,Alaska Island Community Services,TX
'044150,2019,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",AL
'044150,2018,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",CA
'044150,2017,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",CA
'044150,2016,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",GA
'044150,2015,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",IL
'044150,2014,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",LA
'044150,2013,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",ME
'044150,2012,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",MT
'044150,2011,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",ND
'2246,2010,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",NY
'1131,2009,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",OR
'1085,2008,fqhc,"ALBANY AREA PRIMARY HEALTH CARE, INC.",PW
'1507,2007,fqhc,"Albany Area Primary Health Care, Inc.",SC
'1944,2006,fqhc,"Albany Area Primary Health Care, Inc.",TX
'1056,2005,fqhc,"Albany Area Primary Health Care, Inc.",UT
'931,2004,fqhc,"Albany Area Primary Health Care, Inc.",WA
'04E00098,2013,fqhc,ALBEMARLE HOSPITAL AUTHORITY,ME
'04E00098,2012,fqhc,ALBEMARLE HOSPITAL AUTHORITY,NC
'04E00098,2011,fqhc,ALBEMARLE HOSPITAL AUTHORITY,NE
'061440,2019,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,AZ
'061440,2018,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,CA
'061440,2017,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,CT
'061440,2016,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,GA
'061440,2015,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,IN
'061440,2014,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,MA
'061440,2013,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,MI
'061440,2012,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,MS
'061440,2011,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,NH
'1373,2010,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,NY
'253,2009,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,OH
'244,2008,fqhc,ALBUQUERQUE HEALTH CARE FOR THE HOMELESS,PA
'2037,2007,fqhc,"Albuquerque Health Care for the Homeless, Inc.",TN
'2656,2006,fqhc,"Albuquerque Health Care For The Homeless, Inc.",TX
'1847,2005,fqhc,"Albuquerque Health Care For The Homeless, Inc.",WA
'1795,2004,fqhc,"Albuquerque Health Care For The Homeless, Inc.",WV
'1600,2007,fqhc,Alcona Citizens For Health,SC
'051980,2019,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",AR
'051980,2018,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",CA
'051980,2017,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",CO
'051980,2016,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",GA
'051980,2015,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",IL
'051980,2014,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",LA
'051980,2013,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",MI
'051980,2012,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",MS
'051980,2011,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",NE
'1831,2010,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",NY
'716,2009,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",OK
'684,2008,fqhc,"ALCONA CITIZENS FOR HEALTH, INC.",PA
'2785,2006,fqhc,Alcona Health Center,TX
'1553,2005,fqhc,Alcona Health Center,VA
'1796,2004,fqhc,Alcona Health Center,WV
'04E01241,2019,fqhc,"ALETHEIA HOUSE, INC.",AL
'04E01241,2018,fqhc,"ALETHEIA HOUSE, INC.",CA
'04E01241,2017,fqhc,"ALETHEIA HOUSE, INC.",CO
'106170,2019,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,CA
'106170,2018,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,CA
'106170,2017,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,FL
'106170,2016,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,ID
'106170,2015,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,KY
'106170,2014,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,MA
'106170,2013,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,MN
'106170,2012,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,MO
'106170,2011,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,NM
'1201,2010,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,NM
'77,2009,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,OH
'75,2008,fqhc,ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,OR
'1775,2007,fqhc,Aleutian/Pribilof Islands Association,SD
'2909,2006,fqhc,Aleutian/Pribilof Islands Association,TX
'1701,2005,fqhc,Aleutian/Pribilof Islands Association,VT
'1101,2004,fqhc,Aleutian/Pribilof Islands Association,WI
'1986,2007,fqhc,Alexandria Neighborhood Health Services,TN
'2057,2006,fqhc,Alexandria Neighborhood Health Services,TX
'1994,2005,fqhc,Alexandria Neighborhood Health Services,WA
'1313,2004,fqhc,Alexandria Neighborhood Health Services,WI
'0310600,2015,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",IL
'0310600,2014,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",KY
'0310600,2013,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",MD
'0310600,2012,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",MT
'0310600,2011,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",NC
'2117,2010,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",NY
'1002,2009,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",OR
'961,2008,fqhc,"ALEXANDRIA NEIGHBORHOOD HEALTH SERVICES, INC.",PR
'056620,2019,fqhc,ALIVIO MEDICAL CENTER,AR
'056620,2018,fqhc,ALIVIO MEDICAL CENTER,CA
'056620,2017,fqhc,ALIVIO MEDICAL CENTER,CO
'056620,2016,fqhc,ALIVIO MEDICAL CENTER,GA
'056620,2015,fqhc,ALIVIO MEDICAL CENTER,IL
'056620,2014,fqhc,ALIVIO MEDICAL CENTER,LA
'056620,2013,fqhc,ALIVIO MEDICAL CENTER,MI
'056620,2012,fqhc,ALIVIO MEDICAL CENTER,MO
'056620,2011,fqhc,ALIVIO MEDICAL CENTER,NH
'1740,2010,fqhc,ALIVIO MEDICAL CENTER,NY
'622,2009,fqhc,ALIVIO MEDICAL CENTER,OK
'593,2008,fqhc,ALIVIO MEDICAL CENTER,PA
'2431,2007,fqhc,Alivio Medical Center,TX
'3021,2006,fqhc,Alivio Medical Center,UT
'1971,2005,fqhc,Alivio Medical Center,WA
'1893,2004,fqhc,Alivio Medical Center,WY
'074650,2019,fqhc,ALL CARE HEALTH CENTER,AZ
'074650,2018,fqhc,ALL CARE HEALTH CENTER,CA
'074650,2017,fqhc,ALL CARE HEALTH CENTER,DC
'074650,2016,fqhc,ALL CARE HEALTH CENTER,HI
'074650,2015,fqhc,ALL CARE HEALTH CENTER,IN
'074650,2014,fqhc,ALL CARE HEALTH CENTER,MA
'09E00008,2019,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",CA
'09E00008,2018,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",CA
'09E00008,2017,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",FL
'09E00008,2016,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",IA
'09E00008,2015,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",KS
'09E00008,2014,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",MA
'09E00008,2013,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",MN
'09E00008,2012,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",MS
'09E00008,2011,fqhc,"ALL FOR HEALTH, HEALTH FOR ALL",NJ
'1778,2010,fqhc,"All For Health, Health for All",NY
'661,2009,fqhc,"All For Health, Health for All",OK
'1933,2007,fqhc,Allen County Health Partners,TN
'2819,2006,fqhc,Allen County Health Partners,TX
'1645,2005,fqhc,Allen County Health Partners,VT
'862,2009,fqhc,"Allen County Health Partners, Inc.",OR
'826,2008,fqhc,"Allen County Health Partners, Inc.",PR
'05E01319,2019,lookalike,"ALLIANCE FAMILY HEALTH CENTER, INC.",AK
'2077,2006,fqhc,Alliance Medical Center,TX
'1048,2005,fqhc,Alliance Medical Center,UT
'1003,2004,fqhc,Alliance Medical Center,WA
'092080,2019,fqhc,"ALLIANCE MEDICAL CENTER, INC.",CA
'092080,2018,fqhc,"ALLIANCE MEDICAL CENTER, INC.",CA
'092080,2017,fqhc,"ALLIANCE MEDICAL CENTER, INC.",FL
'092080,2016,fqhc,"ALLIANCE MEDICAL CENTER, INC.",IA
'092080,2015,fqhc,"ALLIANCE MEDICAL CENTER, INC.",KS
'092080,2014,fqhc,"ALLIANCE MEDICAL CENTER, INC.",MA
'092080,2013,fqhc,"ALLIANCE MEDICAL CENTER, INC.",MI
'092080,2012,fqhc,"ALLIANCE MEDICAL CENTER, INC.",MO
'092080,2011,fqhc,"ALLIANCE MEDICAL CENTER, INC.",NJ
'1925,2010,fqhc,"ALLIANCE MEDICAL CENTER, INC.",NY
'810,2009,fqhc,"ALLIANCE MEDICAL CENTER, INC.",OK
'775,2008,fqhc,"ALLIANCE MEDICAL CENTER, INC.",PR
'1186,2007,fqhc,"Alliance Medical Center, Inc.",RI
'09E00123,2019,fqhc,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,CA
'09E00123,2018,fqhc,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,CA
'09E00123,2017,fqhc,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,FL
'09E00123,2016,fqhc,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,IA
'09E00123,2015,fqhc,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,KS
'09E00123,2014,fqhc,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,MA
'09E00688,2017,lookalike,"ALTA FAMILY HEALTH CLINIC, INC.",CA
'09E00688,2016,lookalike,"ALTA FAMILY HEALTH CLINIC, INC.",FL
